ID,Gamma,Tin,Norm,Red. Pg-Stat,mjd,Intensity,hardness ratio
2130360201_4,1.93857,0.304738,331.147,1.137391304347826,58558.6220486,2.16008975442844,0.4682188761596136
1130360275_0,1.10082,1.94171,0.1,1.0485161290322582,58397.771088,2.655924078054795,0.5163031859844404
1130360184_11,2.6092,0.449416,4732.08,1.1844897959183673,58266.3579977,73.6209012440928,0.0643995967289733
1130360184_14,2.51973,0.431697,6193.75,1.0217647058823531,58266.5509606,72.4400088485787,0.06930972154437304
1130360201_0,1.77892,0.306873,2034.37,1.2145959595959597,58288.738287,29.573757335281982,0.4036053467699404
2130360202_1,1.30206,0.477971,5.28657,1.20156462585034,58571.1660301,1.209520417391919,0.5509456841777828
1130360261_1,2.16103,0.38852,23.6927,1.035875,58380.6676505,0.7312276147153811,0.3574675987780734
1130360269_1,1.37996,0.638183,0.420653,1.1185185185185185,58390.2478472,1.5228895530622157,0.5455922907644875
1130360146_6,3.5,0.602131,3427.44,1.2618125,58199.4387963,269.9314475662012,0.050188586709543334
2130360205_1,1.1,0.201568,11247.9,1.3791499999999999,58588.7523958,3.0657784271404678,1.0865708415170865
1130360210_0,1.75942,0.200045,5433.94,1.0258571428571428,58303.2847801,13.850670181607233,0.40312546554243955
1130360146_4,3.49546,0.584612,3956.13,0.9529496402877699,58199.373044,272.00163116232096,0.05412956569696675
1130360169_1,2.03752,0.255247,641.903,1.0478333333333334,58238.2718981,0.3947988589594026,0.24487706462904738
1130360230_0,1.9851,0.34836,2277.91,1.1531413612565444,58326.6445486,37.779127812118936,0.3140334099099176
1130360145_4,3.5,0.597003,3673.26,1.0207534246575343,58198.9301736,279.3520609914846,0.0544350447072836
1130360234_1,1.7319,0.94025,0.122054,0.9950898203592815,58334.5292361,5.602863091011666,0.4510308998637353
1130360187_0,1.96928,0.33124,4458.05,1.194,58270.9903704,30.980776414154498,0.293821506120013
1130360186_1,1.98631,0.322468,6145.76,1.0468527918781725,58270.9313657,32.322666344988185,0.29363009055227146
1130360199_1,1.50599,0.284915,144.432,1.0954450261780104,58287.325463,10.25938497247965,0.5103568402200234
1130360188_0,1.69097,0.283361,1367.87,0.9394300518134715,58273.758831,15.282847555227367,0.4205264167218268
1130360203_1,1.8325,0.363341,2546.93,1.0502061855670104,58290.284213,48.89704089668353,0.3351477150482396
1130360226_4,1.44832,0.280833,545.238,1.0009550561797753,58321.4990972,10.758144949216383,0.5276032820476563
1130360184_16,2.65068,0.432792,5217.06,1.127290322580645,58266.6796991,71.03919798189783,0.08256003056020346
1130360146_8,3.5,0.583506,4117.04,1.1742666666666666,58199.5096528,270.4382942689238,0.05333541399165124
1130360184_9,2.29533,0.44307,5387.43,1.0176691729323308,58266.2946065,71.8018069802716,0.06155066724266742
1130360211_0,1.70874,0.21267,950.621,0.9258783783783784,58304.2501157,11.075222622080519,0.42857847877460103
1130360267_4,1.66187,0.20289,2403.95,1.0310666666666666,58386.4537269,1.0723175047510578,0.5147896603731938
1130360191_1,1.57407,0.200001,10530.0,0.9774400000000001,58277.4804051,2.6259216841650352,0.47621813024613513
1130360226_6,1.5696,0.202176,3022.33,1.0070224719101124,58321.6921875,11.484636168683885,0.4835105096144956
1130360144_3,3.5,0.593947,4125.23,1.29685,58197.4494907,295.0345597485513,0.05021607030442175
1130360146_2,1.10578,0.582171,4287.15,1.25285,58199.2519213,274.7236531648744,0.053464869399179646
1050360105_4,2.29363,0.686612,0.1,1.3786500000000002,58009.0634028,5382.604027631612,0.3485501113007045
1130360214_0,1.73598,0.306524,19.7756,1.0667441860465117,58307.5973264,2.639810680307923,0.4896729918913078
2130360201_5,1.82896,0.204354,7195.5,1.0084615384615385,58558.6863657,2.128759940326687,0.44659718367334766
1130360239_0,1.73806,0.289869,155.017,1.071578947368421,58339.2249653,1.142650143676013,0.39292357959681584
1130360184_0,2.51277,0.447102,5125.21,0.9435915492957747,58266.1646412,71.7404506942996,0.05440877124383195
1130360226_7,1.70095,0.20099,31639.6,1.136235294117647,58321.7578704,11.782308680589475,0.48729977285058906
1130360229_1,1.99027,0.34052,2594.43,1.206060606060606,58325.4824421,36.175154212546126,0.32359412533551196
1130360178_8,2.02539,0.224063,5142.09,1.0571052631578948,58252.8227083,1.5450829347357071,0.3932720250740775
1130360265_5,1.10001,0.200022,498.281,0.9010416666666666,58384.5983333,1.6500351447928598,0.7927066147807168
1130360178_6,1.3747,0.403097,67.5263,1.0623333333333334,58252.5650694,3.163755447441284,0.5069409015287463
1130360166_3,1.1,0.268232,2041.06,1.2505940594059406,58233.6475116,1.2095098098428578,0.35049960653807133
1130360146_5,3.5,0.587744,4050.56,1.1317525773195876,58199.3809491,272.03785500657244,0.04854123953805036
1130360231_0,1.93577,0.362718,2124.6,1.1768844221105528,58327.1526852,38.82566084777187,0.31432735209862434
1130360234_0,1.57059,0.530703,0.1,1.1832544378698224,58334.4649306,5.457927840885421,0.46975570526702753
1130360245_0,1.1,0.599845,5.04206,1.025,58351.1905208,1.0917968788578318,0.5463694059725315
1130360146_0,1.12039,0.587953,4062.18,0.9140645161290323,58199.0588426,277.19241211985684,0.053783810776803956
1130360227_1,1.72295,0.201226,29318.2,0.9389759036144578,58322.7264236,17.372364941826124,0.45899762705521807
1130360146_7,3.5,0.586531,3993.3,1.0950828729281767,58199.4441782,267.68862869186194,0.04881035498660684
1130360184_12,2.13876,0.46003,4088.66,1.052375,58266.421331,70.33216222875441,0.0616649858838082
1130360178_7,1.81468,0.200322,7199.21,0.9098198198198197,58252.7583681,1.3596495433096394,0.4453968147556076
1130360145_1,3.5,0.592851,4067.47,1.39035,58198.3514236,286.959135783438,0.049789389009647
1130360202_0,1.76316,0.395791,311.015,1.1142307692307691,58288.9965278,33.03156947647288,0.38332270344942737
1130360283_2,1.1947,1.99965,0.1,1.0654268292682927,58502.8292245,2.2512333736684336,0.4533376933616893
1130360152_1,3.5,0.479442,4687.95,1.123923076923077,58210.9939699,92.51227135153094,0.030084374318884163
1130360203_2,1.87171,0.362431,2615.66,1.0340201005025127,58290.3462963,48.902596850744196,0.33835051722145343
1130360219_0,1.56833,0.200718,17.2874,0.9536601307189543,58313.5863079,1.2287083587553467,0.4830761983207758
1130360140_0,3.5,0.615697,3942.15,1.2031,58193.1971644,347.6711235205259,0.05767527433692093
1130360268_0,1.47269,0.200314,0.181309,0.977741935483871,58388.8881944,1.5201473027473418,0.5176930491777547
1130360210_1,1.6483,0.349017,221.115,1.1245578231292517,58303.2864592,13.518789377890627,0.4247237342065819
1130360143_0,3.44999,0.604837,3835.12,1.21425,58196.4206829,314.4498806313888,0.05717262440390881
1130360244_4,1.1,0.200001,587.251,1.059591836734694,58350.5493056,1.4019766093653134,0.7263674238277594
1130360284_1,1.84292,0.330983,79.7863,1.0856470588235294,58505.1463657,1.7776629404747892,0.44974914782353975
1130360145_2,1.12776,0.59415,3883.0,0.9713815789473684,58198.4808102,283.70513263420827,0.05347902959027754
1130360107_6,2.56507,0.883997,1964.86,1.24885,58030.725544,7132.767060110885,0.3134187563734398
1130360225_0,1.62611,0.711276,0.1,1.3499295774647888,58320.6632639,6.66248887664816,0.5149278305761559
1130360221_0,1.10054,0.770907,1.35506,1.0174705882352941,58315.5812153,1.9565607019257831,0.4954854089875175
1130360184_15,2.14745,0.442664,5386.57,1.2121518987341773,58266.6153356,71.26446904466322,0.07454428343748414
2130360203_0,1.34927,1.19262,0.1,1.3231818181818182,58572.1951852,0.9093597596640943,0.4436898433890455
1130360184_13,1.75276,0.48451,2884.2,1.2038064516129032,58266.4866204,71.69265280057883,0.06828455431789421
1130360218_0,1.30672,0.303759,272.275,1.118695652173913,58311.8530556,1.2594467958469313,0.5574945499950152
1050360104_1,2.22266,0.65887,449.548,1.37405,58008.5201852,5016.204774016586,0.35294905553827527
1130360228_2,2.05664,0.248491,23899.3,1.0894557823129252,58324.7163079,33.21302736807848,0.3509671907467566
1130360146_3,1.10366,0.590096,3895.22,1.38035,58199.3152315,271.95263318257975,0.054030201908688305
1130360189_0,1.38251,0.437201,257.123,1.1898802395209582,58274.2211574,12.166326859324533,0.40910130338992823
1130360226_8,1.71754,0.200089,6840.66,1.040378787878788,58321.825,11.515674636448788,0.4362898962612966
1130360153_0,2.09565,0.485792,4331.3,1.0510852713178296,58211.0583102,91.79483814521647,0.029067256056940133
1130360258_0,1.30819,0.230825,125.371,1.173179190751445,58376.0151042,1.5560597883512397,0.5720720181279422
1130360232_1,2.00285,0.238935,20330.2,0.9881818181818183,58328.5084491,31.841736031854847,0.3451156414977399
1130360178_2,2.23391,0.302057,176.168,1.243076923076923,58252.3717477,0.9245991364326058,0.33399213012264634
1130360186_0,1.97459,0.342451,3356.41,1.2641666666666667,58270.9260764,30.168350588172164,0.2931929277629387
1130360203_0,1.867,0.334252,4552.64,1.215151515151515,58290.217662,47.4280905323374,0.34276182273580097
1130360184_4,3.0281,0.409059,8958.18,0.9670542635658915,58266.2303013,72.54941072523062,0.06104673262224931
1130360156_3,3.49668,0.437012,5042.24,1.2525925925925925,58214.5350579,53.08085309140425,0.02202379454207287
1130360262_0,1.69519,0.60071,0.1,0.9783333333333334,58381.2459954,0.78017462430591,0.4772528111571851
1130360276_0,1.10001,0.570364,7.54912,0.9844318181818181,58398.7387269,3.277847500653882,0.5491724152912016
1130360213_0,1.43169,0.259041,127.252,0.9240677966101696,58306.6320486,4.563060701509679,0.4874725039982104
1130360244_1,1.23491,0.26084,141.804,1.1546575342465755,58350.3564699,1.2814174101603475,0.5187145508251271
1130360235_1,1.5446,0.200012,904.887,0.9809497206703911,58335.5590856,4.100410572832138,0.4775874654916353
1130360199_2,1.77197,0.213339,15709.9,0.9439473684210526,58287.8375694,16.528023588452257,0.44724228081761597
1130360231_1,1.99248,0.322477,3369.21,1.3582722513089005,58327.7968287,35.398683667937526,0.3207063202896963
1130360144_4,3.5,0.601089,3740.4,1.1653896103896104,58197.9012616,292.15654295403357,0.053511318609756116
1130360209_0,1.81082,0.212746,13651.4,1.1721764705882354,58302.0612847,17.904785197987444,0.396190434761126
1130360146_1,1.91288,0.588874,3936.57,1.08640625,58199.1875694,275.3964121927446,0.055009449551793925
1130360207_1,2.01256,0.321694,3289.83,0.9707291666666666,58300.1924306,30.77275680650797,0.3089813313930317
1130360230_2,2.01298,0.330118,5413.52,1.0848780487804877,58326.777037,39.43351680596142,0.3041727911528608
1130360145_3,3.5,0.590494,4058.09,1.393450704225352,58198.8014699,279.2911128574567,0.05127177030126869
1130360183_3,1.10009,0.480112,4575.76,1.1072777777777778,58261.2397338,91.82510090219286,0.04781285550679778
1130360212_1,1.1,0.569371,21.4265,1.231578947368421,58305.9879861,5.65412017855404,0.5045228397059912
1130360156_1,3.4993,0.436886,5469.16,0.9747272727272727,58214.2143634,57.075260490303684,0.023548047705994807
1130360157_4,3.5,0.422091,5381.85,1.0142962962962963,58215.7551852,43.37299313724972,0.01777508595867751
1130360184_3,1.26703,0.488111,3031.72,1.0159166666666666,58266.2291204,71.17059309865516,0.05529279626212741