GDR2_ID,TIC_ID,Distance
4310275491469537152,102107794,11.13585746
5908372482296952064,334524122,14.14427157
6558208838138808576,140045538,14.86104919
3136952686035250688,266744225,14.92091913
2797745549200763520,150899679,15.21606817
5408648849826522112,36124955,15.43686323
4880837088995525632,593228,15.61036528
662732046688476288,178246933,16.6002656
1683677624423753472,950715112,17.34906315
6603693881832177792,206605718,20.85940759
6603693808817829760,206605715,20.92050209
902175030329924608,165818534,24.5278391
6523442177391039360,206327797,24.99375156
3228854506445679616,269077806,25.28445006
5668221005144096896,192543856,25.32928065
3274291270411229056,311092148,26.96871629
6414282147589248000,343648067,27.32240437
5803288101584023040,311958594,27.6854928
3238965099979863296,455029978,27.80094523
958297608506090880,144282456,27.8551532
5198221531355454464,395130640,28.24858757
3689321489301802496,269919096,29.24831822
1701943978599634816,257048637,29.72651605
2932903703242234112,80033631,29.76190476
2901786974419551488,24452802,29.86857826
4803040765814974592,220617943,29.9940012
6725401465316090880,326907507,30.03003003
5641353923129557504,186779497,30.18412315
6647518766053564544,118807628,30.34901366
5811866358170877184,301842096,30.34901366
2395297767716696704,434100291,30.54367746
6304110498368466048,157170384,31.46633103
660143693236636160,184899004,31.47623544
6833292181958100224,99468646,32.22687722
6683082985045702144,290864720,32.69042171
5143033331901973888,632517012,33.85240352
5444751795151480320,54147487,34.02517863
6609339182550866688,47424873,34.23485108
3216922640621225088,427346731,34.38789546
2315841869173294208,251845156,34.86750349
2315841869173294080,251845153,34.89183531
2640348977921037056,250081915,34.9528137
2315849737553379840,251846450,35.12469266
3199132439405197696,37904598,35.5366027
2320267025518037760,12509218,36.46973012
4707563810327288192,394137224,36.80529996
2477870708709917568,29853348,37.28560776
Â  9124679495764864,,37.41114852
4886831592030178944,166869904,37.80718336
2788357364871430400,243153498,38.18251241
